EU_circo;code_région;nom_région;chef-lieu_région;numéro_département;nom_département;préfecture;numéro_circonscription;nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Ouest;54;Poitou-Charentes;Poitiers;16;Charente;Angoulême;1;Grassac;16380;16158;45.583333;0.4;1.13
Ouest;54;Poitou-Charentes;Poitiers;16;Charente;Angoulême;1;Gurat;16320;16162;45.433333;0.266667;1.49
Ouest;54;Poitou-Charentes;Poitiers;16;Charente;Angoulême;1;Juignac;16190;16170;45.383333;0.166667;1.76
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;2;Toulon;83000;83137;43.116667;5.933333;1.68
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;Carqueiranne;83320;83034;43.083333;6.083333;1.87
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;Hyères;83400;83069;43.116667;6.116667;1.68
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;La Crau;83260;83047;43.15;6.066667;1.49
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;La Garde;83130;83062;;;
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;La Londe-les-Maures;83250;83071;43.133333;6.233333;1.58
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;La Valette-du-Var;83160;83144;43.133333;5.983333;1.58
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;Le Pradet;83220;83098;43.1;6.016667;1.78
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;3;Le Revest-les-Eaux;83200;83103;43.366667;6.566667;1.32
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;4;Aiguines;83630;83002;43.766667;6.25;2.08
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;4;Ampus;83111;83003;43.6;6.383333;1.12
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;4;Aups;83630;83007;43.616667;6.233333;1.21
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille;83;Var;Toulon;4;Baudinard-sur-Verdon;83630;83014;;;
