Nom,Descriptif,Categorie,Texte,ZipCode,Longitude,Latitude,Commune
Pharmacie Aire Saint Michel,Petite pharmacie dans les collines,Pharmacie,45 Avenue Jules Romain,06100,43.743707,7.262745,Nice
Cinema Liberte,Cinéma Pathé situé à côté de la place de la liberté,Loisirs,265 Boulevard Maréchal Leclerc,83000,43.125773,5.929112,Toulon
Bowling,Bowling à proximité de La Garde,Loisirs,563 Chemin des Plantades,83130,43.143019,6.024460,La Garde
Laserstar,Centre de LaserGame à proximité de La Garde,Loisirs,655 Chemin des Plantades,83130,43.143152,6.023968,La Garde
Centre commercial Mayol,Centre commercial,Touristique,Rue du Mûrier,83000,43.1201056,5.9348037,Toulon
Plage du Mourillon,Plages restaurants et Bars,Loisirs,334 Av. des Dardanelles,83000,43.1071573,5.9423101,Toulon
Appart Fitness,Salle de sport,Sport,Place georges pompidou,83000,43.1203874,5.9365595,Toulon
Fitness Park,Salle de sport,Sport,Rue du Mûrier,83000,43.1203067,5.9332552,Toulon
Espit Chupitos,Bar aux multiples variétés de shots,Bars,9 Place de la Poissonnerie,83000,43.1205342,5.9306999,Toulon
Patinoire,Patinoire à proximité de La Garde,Loisirs,382 Avenue Abel Gance,83130,43.1218995,5.9982809,La Garde
Port de Toulon,Port de la rade de Toulon,Touristique,254 Avenue de la République,83000,43.120303,5.9296171,Toulon
La Tortue,Restaurant sur le port,Restauration,71 Quai de la Sinse,83000,43.118885,5.9322543,Toulon
Le Corsaire,Bar à proximité du stade Mayol,Bars,15 Rue Marquetas,83000,43.1179422,5.9347849,Toulon
Barathym,Bar à proximité de la plage du Mourillon,Bars,32 Boulevard Dr Cuneo,83000,43.1092934,5.9300225,Toulon
Cote Jardin,Bar à proximité de la plage du Mourillon,Restauration,437 Littoral Frédéric Mistral,83000,43.108287,5.9379178,Toulon
Prosper,Boîte de nuit,Loisirs,Boulevard Jules Arpinetti,83320,43.096214,6.0673777,Carqueiranne
Burger King,Restaurant gastronomique,Restauration,Place Georges Pompidou,83000,43.1209433,5.9366263,Toulon
McDonald,Restautant de haute qualité,Restauration,44 Boulevard de Strasbourg,83000,43.1250879,5.9301284,Toulon
Sushi Shop,Restaurant de sushis,Restauration,61 Place de la Liberté,83000,43.1261154,5.9276732,Toulon
Gare SNCF,Gare SNCF et gare routière,Touristique,Place de l'Europe,83000,43.1281779,5.9271983,Toulon
